Neighborhood,Businesses,Debt Risk Score,Walk Score,Population,Average Income
"Forest Hill South, Toronto",175,775,76,,
"Forest Hill North, Toronto",144,749,77,,
"Lawrence Park South, Toronto",167,784,72,,
"Mount Pleasant West, Toronto",1129,753,95,,
"Lawrence Park North, Toronto",381,790,78,,
"Humewood-Cedarvale, Toronto",139,747,80,,
"Oakwood Village, Toronto",255,713,82,,
"Briar Hill-Belgravia, Toronto",477,719,81,,
"Caledonia-Fairbank, Toronto",92,700,69,,
"Keelesdale-Eglinton West, Toronto",266,707,69,,
"Rockcliffe-Smythe, Toronto",314,710,61,,
"Beechborough-Greenbrook, Toronto",128,677,62,,
"Weston, Toronto",536,679,73,"16,476","27,446"
"Lambton Baby Point, Toronto",66,749,70,,
"Mount Dennis, Toronto",184,680,59,"21,284","23,910"
"Steeles, Toronto",237,778,61,"24,696","26,660"
"L'Amoreaux, Toronto",443,758,65,"45,862","26,375"
"Tam O'Shanter-Sullivan, Toronto",343,756,64,,
"Wexford/Maryvale, Toronto",945,735,67,,
"Clairlea-Birchmount, Toronto",831,741,69,,
"Oakridge, Toronto",201,704,71,"13,368","21,155"
"Birchcliffe-Cliffside, Toronto",345,747,71,,
"Cliffcrest, Toronto",200,748,54,"14,531","38,182"
"Kennedy Park, Toronto",261,729,62,,
"Ionview, Toronto",148,712,70,"13,025","25,078"
"Dorset Park, Toronto",969,727,68,"14,189","26,525"
"Bendale, Toronto",853,738,64,"28,945","29,723"
"Agincourt South-Malvern West, Toronto",1378,756,66,,
"Agincourt North, Toronto",353,765,66,,
"Milliken, Toronto",2090,770,65,"26,272","25,243"
"Rouge, Toronto",877,738,42,"22,724","29,230"
"Malvern, Toronto",625,724,61,"44,324","25,677"
"Centennial Scarborough, Toronto",126,774,54,,
"Highland Creek, Toronto",91,751,54,"12,853","33,640"
"Morningside, Toronto",108,711,53,"11,472","27,139"
"West Hill, Toronto",424,706,66,"25,632","27,936"
"Woburn, Toronto",1073,723,66,"48,507","26,190"
"Eglinton East, Toronto",296,705,62,"22,387","25,307"
"Scarborough Village, Toronto",228,699,70,"12,796","24,413"
"Guildwood, Toronto",67,774,59,"12,820","40,806"
